MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,release_year,DIRECTOR,ACTORS,combined_features
Maen Too Maen,(2017),action drama thriller,7.4,A secret agent works under cover as a bodyguard and is forced to deal with both national security missions as well as a temperamental superstar.,"Stars: Park Hae-Jin, Park Sung-woong, Min-Jung Kim, Jason Nelson",1045,80,0.0,2017,,Park Hae-Jin Park Sung-woong Min-Jung Kim Jason Nelson,maen too maen action drama thriller a secret agent works under cover as a bodyguard and is forced to deal with both national security missions as well as a temperamental superstar. park hae-jin park sung-woong min-jung kim jason nelson
Adú,(2020),drama,6.7,"Three people, three stories, one thing in common: Africa.","Director: Salvador Calvo | Stars: Luis Tosar, Álvaro Cervantes, Anna Castillo, Moustapha Oumarou",4416,119,0.0,2020,Salvador Calvo,Luis Tosar Álvaro Cervantes Anna Castillo Moustapha Oumarou,"adú drama three people, three stories, one thing in common: africa. salvador calvo luis tosar álvaro cervantes anna castillo moustapha oumarou"
The Great Train Robbery,(2013),biography crime drama,7.4,"A two-part drama which portrays The Great Train Robbery of 8 August 1963, firstly from the point of view of the robbers and then from the point of view of the police who set out to identify and catch the robbers.","Stars: Robert Glenister, Jack Roth, Paul Anderson, Luke Evans",3668,90,0.0,2013,,Robert Glenister Jack Roth Paul Anderson Luke Evans,"the great train robbery biography crime drama a two-part drama which portrays the great train robbery of 8 august 1963, firstly from the point of view of the robbers and then from the point of view of the police who set out to identify and catch the robbers. robert glenister jack roth paul anderson luke evans"
The Innocence Files,(2020),documentary crime,8.0,Cases of wrongful conviction that the Innocence Project and organizations within the Innocence Network have worked to highlight and overturn.,"Stars: Peter Neufeld, Barry Scheck, Michael West, Gary Wells",2335,573,0.0,2020,,Peter Neufeld Barry Scheck Michael West Gary Wells,the innocence files documentary crime cases of wrongful conviction that the innocence project and organizations within the innocence network have worked to highlight and overturn. peter neufeld barry scheck michael west gary wells
Queen Sono,(2020–2021),action crime drama,6.0,A drama about a secret agent who fights crime while dealing with crises in her personal life.,"Stars: Pearl Thusi, Vuyo Dabula, Sechaba Morojele, Chi Mhende",1093,43,0.0,2020,,Pearl Thusi Vuyo Dabula Sechaba Morojele Chi Mhende,queen sono action crime drama a drama about a secret agent who fights crime while dealing with crises in her personal life. pearl thusi vuyo dabula sechaba morojele chi mhende
Johan Falk: GSI - Gruppen för särskilda insatser,(2009),action crime thriller,6.9,"Policeman Johan Falk returns to Gothenburg and starts service at the successful special service GSI, but the relation between the unit and the criminals introduces him to a world he never thought existed.","Director: Anders Nilsson | Stars: Jakob Eklund, Joel Kinnaman, Mikael Tornving, Meliz Karlge",3720,118,0.0,2009,Anders Nilsson,Jakob Eklund Joel Kinnaman Mikael Tornving Meliz Karlge,"johan falk: gsi - gruppen för särskilda insatser action crime thriller policeman johan falk returns to gothenburg and starts service at the successful special service gsi, but the relation between the unit and the criminals introduces him to a world he never thought existed. anders nilsson jakob eklund joel kinnaman mikael tornving meliz karlge"
"Fresh, Fried and Crispy",(2021– ),reality-tv,6.3,"Passionate about food and ready for fun, critic Daym Drops drops in on America's smokin' hot spots for the best, freshest takes on fried food.","Stars: Daym Drops, Sonya Beckham, Teresa Cottrell, Nancy Faidley-Devine",417,0,0.0,2021,,Daym Drops Sonya Beckham Teresa Cottrell Nancy Faidley-Devine,"fresh, fried and crispy reality-tv passionate about food and ready for fun, critic daym drops drops in on america's smokin' hot spots for the best, freshest takes on fried food. daym drops sonya beckham teresa cottrell nancy faidley-devine"
"60 Il, Jijeongsaengjonja",(2019),drama thriller,8.1,"When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu Jin must find a way to lead Korea through the ensuing chaos.","Stars: Jin-hee Ji, Joon-ho Huh, Kang Han-na, Lee Joon-hyuk",910,70,0.0,2019,,Jin-hee Ji Joon-ho Huh Kang Han-na Lee Joon-hyuk,"60 il, jijeongsaengjonja drama thriller when the national assembly suffers a catastrophic attack, minister of environment park mu jin must find a way to lead korea through the ensuing chaos. jin-hee ji joon-ho huh kang han-na lee joon-hyuk"
What Did Jack Do?,(2017),short comedy crime,6.5,"In a locked down train station, a homicide detective conducts an interview with a tormented monkey.","Director: David Lynch | Stars: Jack Cruz, David Lynch, Toototabon, Emily Stofle",11306,17,0.0,2017,David Lynch,Jack Cruz David Lynch Toototabon Emily Stofle,"what did jack do? short comedy crime in a locked down train station, a homicide detective conducts an interview with a tormented monkey. david lynch jack cruz david lynch toototabon emily stofle"
Betty en NY,(2019– ),comedy,7.7,"The show centers on Beatriz Aurora Rincon Lozano, a young climber who takes a job at V&M Fashion as secretary to the company president.","Stars: Elyfer Torres, Erick Elias, Amaranta Ruiz, Sabrina Seara",477,60,0.0,2019,,Elyfer Torres Erick Elias Amaranta Ruiz Sabrina Seara,"betty en ny comedy the show centers on beatriz aurora rincon lozano, a young climber who takes a job at v&m fashion as secretary to the company president. elyfer torres erick elias amaranta ruiz sabrina seara"
Instant Hotel,(2017– ),reality-tv,7.3,"A reality television series which began airing on the Seven Network, Australia and now a Netflix original series. The series follows homeowners who have transformed their homes into hotels ... See full summary »","Stars: Juliet Ashworth, Luke Jacobz, Terry Brouwers, Anita Bocquee",1328,45,0.0,2017,,Juliet Ashworth Luke Jacobz Terry Brouwers Anita Bocquee,"instant hotel reality-tv a reality television series which began airing on the seven network, australia and now a netflix original series. the series follows homeowners who have transformed their homes into hotels ... see full summary » juliet ashworth luke jacobz terry brouwers anita bocquee"
Henry Gamble's Birthday Party,(2015),drama,6.1,Preacher's kid Henry Gamble is turning 17 today. Bring your swimsuit.,"Director: Stephen Cone | Stars: Cole Doman, Joe Keery, Elizabeth Laidlaw, Pat Healy",2753,87,0.0,2015,Stephen Cone,Cole Doman Joe Keery Elizabeth Laidlaw Pat Healy,henry gamble's birthday party drama preacher's kid henry gamble is turning 17 today. bring your swimsuit. stephen cone cole doman joe keery elizabeth laidlaw pat healy
Made in China,(II) (2019),comedy drama,6.2,"Story of Failed Gujarati Businessman, who jumps into unknown world of China to get once in a life time business idea, which will change his life.","Director: Mikhil Musale | Stars: Rajkummar Rao, Boman Irani, Mouni Roy, Paresh Rawal",3947,128,0.0,2019,Mikhil Musale,Rajkummar Rao Boman Irani Mouni Roy Paresh Rawal,"made in china comedy drama story of failed gujarati businessman, who jumps into unknown world of china to get once in a life time business idea, which will change his life. mikhil musale rajkummar rao boman irani mouni roy paresh rawal"
Diagnosis,(2019– ),documentary,7.8,Medical docuseries focusing on patients with unique illnesses and their journeys to find a diagnosis and cure.,"Stars: Hugh Calkins, Crystal Lee, Matt Lee, Lisa Sanders",975,0,0.0,2019,,Hugh Calkins Crystal Lee Matt Lee Lisa Sanders,diagnosis documentary medical docuseries focusing on patients with unique illnesses and their journeys to find a diagnosis and cure. hugh calkins crystal lee matt lee lisa sanders
Minecraft: Story Mode,(2018),adventure,5.7,"MInecraft: Story Mode is an interactive, animated TV series from Netflix and Telltale Games. Viewers input decisions that affect the course of the story, using a remote control or computer keyboard.","Stars: Patton Oswalt, Catherine Taber, Ashley Johnson, Brian Posehn",181,0,0.0,2018,,Patton Oswalt Catherine Taber Ashley Johnson Brian Posehn,"minecraft: story mode adventure minecraft: story mode is an interactive, animated tv series from netflix and telltale games. viewers input decisions that affect the course of the story, using a remote control or computer keyboard. patton oswalt catherine taber ashley johnson brian posehn"
My Holo Love,(2020),drama romance sci-fi,7.7,"A successful woman, who has aphasia and this inability to recognize faces interferes with her social life.","Stars: Hwang Chan-sung, Yeo-jin Choi, Lee Jeong-eun, Ko Sung-hee",1779,55,0.0,2020,,Hwang Chan-sung Yeo-jin Choi Lee Jeong-eun Ko Sung-hee,"my holo love drama romance sci-fi a successful woman, who has aphasia and this inability to recognize faces interferes with her social life. hwang chan-sung yeo-jin choi lee jeong-eun ko sung-hee"
2020 Golden Globe Awards,(2020 TV Special),comedy,7.2,Comedian Ricky Gervais brutally roasts Hollywood and exposes their hypocrisy.,"Director: Louis J. Horvitz | Stars: Ricky Gervais, Jennifer Aniston, Reese Witherspoon, Michael Douglas",703,134,0.0,2020,Louis J. Horvitz,Ricky Gervais Jennifer Aniston Reese Witherspoon Michael Douglas,2020 golden globe awards comedy comedian ricky gervais brutally roasts hollywood and exposes their hypocrisy. louis j. horvitz ricky gervais jennifer aniston reese witherspoon michael douglas
Last Chance U: Basketball,(2021– ),documentary sport,8.4,Explore an honest and gritty look inside the world of community college basketball.,,1950,0,0.0,2021,,,last chance u: basketball documentary sport explore an honest and gritty look inside the world of community college basketball.
Dolly Kitty Aur Woh Chamakte Sitare,(2019),comedy drama,5.3,"A disillusioned Delhi wife and her new-in-town cousin navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom.","Director: Alankrita Shrivastava | Stars: Konkona Sen Sharma, Bhumi Pednekar, Amol Parashar, Kubbra Sait",4946,126,0.0,2019,Alankrita Shrivastava,Konkona Sen Sharma Bhumi Pednekar Amol Parashar Kubbra Sait,"dolly kitty aur woh chamakte sitare comedy drama a disillusioned delhi wife and her new-in-town cousin navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom. alankrita shrivastava konkona sen sharma bhumi pednekar amol parashar kubbra sait"
Aelliseu,(2020),drama fantasy mystery,7.2,The story of detective Park Jin Gyeom who comes to know about the existence of time travelers while investigating a mysterious murder case.,"Stars: Kim Hee-seon, Joo Won, Da-In Lee, Choi Wonyoung",792,70,0.0,2020,,Kim Hee-seon Joo Won Da-In Lee Choi Wonyoung,aelliseu drama fantasy mystery the story of detective park jin gyeom who comes to know about the existence of time travelers while investigating a mysterious murder case. kim hee-seon joo won da-in lee choi wonyoung
Yeowoogakshibyeol,(2018– ),drama romance,7.1,Two people overcome ups and downs in their lives to find true romance and make dreams come true at Incheon International Airport.,"Stars: Lee Jehoon, Chae Soo-bin, Dong-geon Lee, Kim Ji-Soo",617,35,0.0,2018,,Lee Jehoon Chae Soo-bin Dong-geon Lee Kim Ji-Soo,yeowoogakshibyeol drama romance two people overcome ups and downs in their lives to find true romance and make dreams come true at incheon international airport. lee jehoon chae soo-bin dong-geon lee kim ji-soo
Yeolhyeolsaje,(2019– ),action comedy crime,8.2,A drama about a Catholic priest with anger management issues and a detective from the Gudam Police Station who meet during their joint investigation into the murder of an elderly priest.,"Stars: Nam-gil Kim, Seong-gyoon Kim, Lee Hanee, Sung-woo Jeon",585,35,0.0,2019,,Nam-gil Kim Seong-gyoon Kim Lee Hanee Sung-woo Jeon,yeolhyeolsaje action comedy crime a drama about a catholic priest with anger management issues and a detective from the gudam police station who meet during their joint investigation into the murder of an elderly priest. nam-gil kim seong-gyoon kim lee hanee sung-woo jeon
The Adventures of Puss in Boots,(2015–2018),animation action adventure,6.7,"The famous cat protects the city of San Lorenzo, a mythical land invisible to the outside world.","Stars: Eric Bauza, Jayma Mays, Grey Griffin, Paul Rugg",1491,23,0.0,2015,,Eric Bauza Jayma Mays Grey Griffin Paul Rugg,"the adventures of puss in boots animation action adventure the famous cat protects the city of san lorenzo, a mythical land invisible to the outside world. eric bauza jayma mays grey griffin paul rugg"
